step,avg_raw_r1,avg_raw_r2,avg_tdma,avg_aloha,collisions_last_win,energy_efficiency
500,0.738430583501006,0.6941649899396378,0.7826961770623743,0.23541247484909456,227,3.1228070175438596
1000,0.78,0.734,0.82,0.252,193,3.902061855670103
1500,0.758,0.786,0.79,0.246,195,3.938775510204082
2000,0.806,0.788,0.806,0.214,188,4.216931216931217
2500,0.808,0.808,0.802,0.24,175,4.590909090909091
3000,0.8,0.794,0.814,0.238,181,4.3791208791208796
3500,0.81,0.79,0.808,0.228,181,4.395604395604396
4000,0.778,0.748,0.834,0.238,200,3.7960199004975124
4500,0.786,0.782,0.802,0.196,201,3.881188118811881
5000,0.806,0.836,0.872,0.228,163,5.0060975609756095
5500,0.784,0.774,0.82,0.248,202,3.8374384236453203
6000,0.818,0.784,0.808,0.248,170,4.684210526315789
6500,0.814,0.772,0.822,0.218,163,4.835365853658536
7000,0.854,0.766,0.818,0.208,157,5.1265822784810124
7500,0.798,0.784,0.8,0.232,178,4.418994413407821
8000,0.864,0.82,0.834,0.228,139,6.014285714285714
8500,0.856,0.768,0.816,0.208,157,5.139240506329114
9000,0.84,0.804,0.842,0.236,147,5.554054054054054
9500,0.802,0.706,0.812,0.236,193,3.88659793814433
10000,0.828,0.758,0.788,0.216,149,5.286666666666667
10500,0.842,0.788,0.834,0.212,137,5.905797101449275
11000,0.84,0.724,0.836,0.206,148,5.248322147651007
11500,0.842,0.774,0.864,0.206,141,5.690140845070423
12000,0.842,0.798,0.84,0.222,129,6.3076923076923075
12500,0.792,0.774,0.81,0.242,161,4.833333333333333
13000,0.77,0.766,0.798,0.226,173,4.413793103448276
13500,0.82,0.77,0.804,0.226,164,4.818181818181818
14000,0.852,0.78,0.852,0.222,153,5.298701298701299
14500,0.844,0.776,0.844,0.23,152,5.294117647058823
15000,0.842,0.788,0.832,0.2,159,5.09375
15500,0.822,0.778,0.822,0.248,167,4.761904761904762
16000,0.822,0.784,0.868,0.25,162,4.92638036809816
16500,0.836,0.786,0.854,0.216,150,5.370860927152318
17000,0.838,0.76,0.856,0.236,155,5.121794871794871
17500,0.828,0.804,0.88,0.27,162,5.006134969325154
18000,0.824,0.778,0.89,0.23,176,4.52542372881356
18500,0.874,0.8,0.872,0.242,125,6.642857142857143
19000,0.828,0.794,0.866,0.262,163,4.945121951219512
19500,0.846,0.828,0.884,0.2,147,5.655405405405405
20000,0.85,0.818,0.882,0.22,144,5.751724137931035
20500,0.874,0.81,0.874,0.24,137,6.101449275362318
21000,0.854,0.83,0.872,0.236,137,6.101449275362318
21500,0.886,0.802,0.868,0.24,141,5.943661971830986
22000,0.854,0.86,0.878,0.248,130,6.541984732824427
22500,0.852,0.824,0.888,0.25,136,6.116788321167883
23000,0.83,0.856,0.862,0.226,144,5.813793103448276
23500,0.86,0.808,0.874,0.238,141,5.873239436619718
24000,0.84,0.826,0.862,0.218,153,5.409090909090909
24500,0.846,0.832,0.884,0.252,148,5.630872483221476
25000,0.846,0.818,0.872,0.204,153,5.402597402597403
