step,avg_raw_r1,avg_raw_r2,avg_tdma,avg_aloha,collisions_last_win,energy_efficiency
500,0.8108651911468813,0.8148893360160966,0.8571428571428571,0.4346076458752515,135,5.9411764705882355
1000,0.832,0.822,0.886,0.398,121,6.778688524590164
1500,0.844,0.872,0.884,0.406,110,7.72972972972973
2000,0.89,0.866,0.9,0.396,107,8.12962962962963
2500,0.88,0.878,0.906,0.422,103,8.451923076923077
3000,0.894,0.86,0.91,0.392,101,8.598039215686274
3500,0.882,0.834,0.908,0.454,113,7.526315789473684
4000,0.872,0.826,0.88,0.41,116,7.256410256410256
4500,0.89,0.87,0.914,0.432,107,8.148148148148149
5000,0.888,0.882,0.91,0.45,93,9.414893617021276
5500,0.908,0.876,0.912,0.392,89,9.911111111111111
6000,0.89,0.876,0.912,0.43,104,8.40952380952381
6500,0.888,0.894,0.894,0.428,99,8.91
7000,0.912,0.904,0.914,0.416,90,9.978021978021978
7500,0.914,0.898,0.908,0.428,91,9.847826086956522
8000,0.906,0.904,0.896,0.43,93,9.627659574468085
8500,0.906,0.89,0.906,0.422,100,8.891089108910892
9000,0.926,0.892,0.898,0.396,90,9.989010989010989
9500,0.912,0.908,0.91,0.432,83,10.833333333333334
10000,0.92,0.93,0.916,0.422,72,12.67123287671233
10500,0.928,0.9,0.916,0.418,84,10.75294117647059
11000,0.924,0.928,0.898,0.4,72,12.684931506849315
11500,0.928,0.936,0.944,0.46,64,14.338461538461539
12000,0.934,0.9,0.936,0.402,82,11.048192771084338
12500,0.834,0.85,0.872,0.396,133,6.2835820895522385
13000,0.87,0.87,0.888,0.45,107,8.055555555555555
13500,0.888,0.866,0.904,0.38,107,8.12037037037037
14000,0.9,0.892,0.916,0.446,94,9.43157894736842
14500,0.908,0.878,0.898,0.398,98,9.02020202020202
15000,0.894,0.902,0.922,0.412,90,9.868131868131869
15500,0.9,0.916,0.908,0.438,85,10.55813953488372
16000,0.922,0.912,0.932,0.442,75,12.06578947368421
16500,0.922,0.894,0.928,0.424,87,10.318181818181818
17000,0.93,0.946,0.956,0.416,63,14.65625
17500,0.898,0.918,0.94,0.372,87,10.318181818181818
18000,0.938,0.93,0.948,0.396,63,14.59375
18500,0.926,0.912,0.948,0.414,78,11.632911392405063
19000,0.926,0.936,0.96,0.382,68,13.492753623188406
19500,0.936,0.942,0.964,0.412,59,15.65
20000,0.944,0.91,0.952,0.428,72,12.698630136986301
20500,0.938,0.932,0.932,0.428,62,14.841269841269842
21000,0.92,0.9,0.932,0.39,88,10.224719101123595
21500,0.938,0.936,0.952,0.44,63,14.640625
22000,0.916,0.912,0.962,0.418,85,10.627906976744185
22500,0.946,0.928,0.962,0.398,58,15.88135593220339
23000,0.95,0.948,0.95,0.428,50,18.607843137254903
23500,0.94,0.936,0.956,0.416,63,14.65625
24000,0.94,0.942,0.964,0.418,56,16.50877192982456
24500,0.938,0.944,0.966,0.444,57,16.224137931034484
25000,0.932,0.946,0.946,0.406,60,15.39344262295082
