seed,max_iter,agent_throughput,tdma_throughput,aloha_throughput,total_throughput,estimated_collisions,estimated_collisions_per_1k,estimated_energy_per_bit,transmit_count,runtime_seconds
42,25000,0.00268,0.1978,0.5556,0.75608,214,8.56,2.0970149253731343,281,69.19452047348022
43,25000,0.00268,0.1978,0.5556,0.75608,214,8.56,2.0970149253731343,281,62.69489550590515
44,25000,0.00268,0.1978,0.5556,0.75608,214,8.56,2.0970149253731343,281,58.07685661315918
