step,avg_raw_r1,avg_raw_r2,avg_tdma,avg_aloha,collisions_last_win,energy_efficiency
500,0.8812877263581489,0.8752515090543259,0.9094567404426559,0.09456740442655935,83,10.392857142857142
1000,0.898,0.88,0.91,0.09,80,10.975308641975309
1500,0.872,0.88,0.912,0.06,99,8.76
2000,0.88,0.884,0.92,0.06,91,9.58695652173913
2500,0.874,0.884,0.916,0.076,94,9.25263157894737
3000,0.886,0.876,0.908,0.07,93,9.372340425531915
3500,0.896,0.882,0.904,0.076,102,8.631067961165048
4000,0.89,0.878,0.908,0.092,103,8.5
4500,0.908,0.926,0.932,0.07,75,12.06578947368421
5000,0.916,0.914,0.924,0.08,82,11.024096385542169
5500,0.91,0.896,0.91,0.068,92,9.709677419354838
6000,0.928,0.922,0.922,0.104,73,12.5
6500,0.924,0.936,0.916,0.088,65,14.090909090909092
7000,0.926,0.926,0.926,0.07,66,13.82089552238806
7500,0.92,0.938,0.932,0.09,69,13.271428571428572
8000,0.938,0.94,0.944,0.074,51,18.057692307692307
8500,0.918,0.936,0.93,0.078,70,13.056338028169014
9000,0.934,0.962,0.94,0.076,51,18.23076923076923
9500,0.962,0.956,0.946,0.074,41,22.833333333333332
10000,0.94,0.964,0.938,0.066,46,20.25531914893617
10500,0.964,0.958,0.948,0.084,38,24.641025641025642
11000,0.948,0.964,0.934,0.116,43,21.727272727272727
11500,0.958,0.95,0.944,0.082,42,22.186046511627907
12000,0.964,0.978,0.948,0.1,28,33.48275862068966
12500,0.87,0.896,0.902,0.086,86,10.149425287356323
13000,0.858,0.878,0.872,0.11,112,7.68141592920354
13500,0.922,0.94,0.932,0.09,53,17.24074074074074
14000,0.934,0.93,0.946,0.078,51,17.923076923076923
14500,0.94,0.93,0.944,0.09,63,14.609375
15000,0.948,0.964,0.972,0.078,37,25.157894736842106
15500,0.954,0.926,0.956,0.102,56,16.49122807017544
16000,0.972,0.942,0.964,0.09,40,23.341463414634145
16500,0.952,0.94,0.978,0.084,47,19.708333333333332
17000,0.96,0.942,0.966,0.086,48,19.408163265306122
17500,0.972,0.952,0.98,0.08,35,26.72222222222222
18000,0.968,0.968,0.986,0.1,30,31.225806451612904
18500,0.976,0.966,0.986,0.066,28,33.48275862068966
19000,0.976,0.972,0.988,0.094,24,38.96
19500,0.978,0.976,0.986,0.096,21,44.40909090909091
20000,0.972,0.968,0.98,0.106,28,33.44827586206897
20500,0.966,0.946,0.956,0.068,43,21.727272727272727
21000,0.95,0.936,0.964,0.082,55,16.839285714285715
21500,0.974,0.964,0.978,0.088,29,32.3
22000,0.986,0.97,0.986,0.1,21,44.45454545454545
22500,0.966,0.956,0.978,0.072,38,24.641025641025642
23000,0.978,0.96,0.984,0.07,30,31.258064516129032
23500,0.982,0.966,0.98,0.068,27,34.785714285714285
24000,0.974,0.948,0.976,0.098,37,25.289473684210527
24500,0.978,0.976,0.984,0.072,21,44.40909090909091
25000,0.958,0.96,0.984,0.066,40,23.390243902439025
