step,avg_raw_r1,avg_raw_r2,avg_tdma,avg_aloha,collisions_last_win,energy_efficiency
500,0.8269617706237424,0.8229376257545271,0.8933601609657947,0.24949698189134809,118,6.890756302521009
1000,0.854,0.848,0.894,0.282,103,8.182692307692308
1500,0.828,0.838,0.89,0.256,121,6.827868852459017
2000,0.862,0.826,0.906,0.256,97,8.612244897959183
2500,0.886,0.82,0.918,0.26,96,8.793814432989691
3000,0.868,0.814,0.886,0.214,119,7.008333333333334
3500,0.882,0.852,0.912,0.254,108,7.954128440366972
4000,0.85,0.848,0.9,0.23,112,7.513274336283186
4500,0.894,0.838,0.912,0.238,101,8.490196078431373
5000,0.89,0.838,0.902,0.232,101,8.470588235294118
5500,0.904,0.84,0.916,0.266,94,9.178947368421053
6000,0.882,0.842,0.894,0.258,112,7.628318584070796
6500,0.91,0.912,0.924,0.258,74,12.146666666666667
7000,0.928,0.866,0.946,0.244,75,11.802631578947368
7500,0.914,0.884,0.924,0.228,76,11.675324675324676
8000,0.908,0.874,0.91,0.244,79,11.1375
8500,0.9,0.872,0.928,0.25,86,10.183908045977011
9000,0.894,0.836,0.92,0.26,93,9.202127659574469
9500,0.908,0.848,0.9,0.25,97,8.959183673469388
10000,0.906,0.87,0.94,0.226,88,9.97752808988764
10500,0.93,0.878,0.928,0.26,72,12.383561643835616
11000,0.93,0.894,0.924,0.246,70,12.845070422535212
11500,0.906,0.868,0.92,0.276,89,9.855555555555556
12000,0.918,0.884,0.912,0.26,84,10.6
12500,0.878,0.856,0.876,0.29,106,8.102803738317757
13000,0.86,0.868,0.892,0.254,102,8.388349514563107
13500,0.898,0.858,0.916,0.288,98,8.868686868686869
14000,0.894,0.894,0.91,0.266,93,9.51063829787234
14500,0.908,0.898,0.916,0.24,79,11.2875
15000,0.898,0.886,0.926,0.254,90,9.802197802197803
15500,0.902,0.89,0.942,0.246,90,9.846153846153847
16000,0.908,0.878,0.926,0.236,87,10.147727272727273
16500,0.922,0.872,0.932,0.27,88,10.07865168539326
17000,0.922,0.892,0.936,0.222,80,11.197530864197532
17500,0.912,0.882,0.946,0.244,86,10.310344827586206
18000,0.936,0.916,0.948,0.262,62,14.698412698412698
18500,0.924,0.914,0.958,0.242,70,12.943661971830986
19000,0.932,0.926,0.964,0.276,58,15.745762711864407
19500,0.932,0.91,0.936,0.25,69,13.157142857142857
20000,0.922,0.928,0.93,0.242,69,13.214285714285714
20500,0.91,0.906,0.944,0.226,88,10.202247191011235
21000,0.936,0.924,0.96,0.286,65,14.090909090909092
21500,0.938,0.934,0.956,0.256,59,15.6
22000,0.904,0.908,0.95,0.282,90,9.956043956043956
22500,0.928,0.936,0.94,0.218,65,14.121212121212121
23000,0.944,0.956,0.956,0.25,48,19.387755102040817
23500,0.92,0.934,0.952,0.258,72,12.698630136986301
24000,0.916,0.93,0.948,0.256,70,13.0
24500,0.902,0.916,0.946,0.3,85,10.569767441860465
25000,0.928,0.928,0.96,0.226,66,13.850746268656716
