step,avg_raw_r1,avg_raw_r2,avg_tdma,avg_aloha,collisions_last_win,energy_efficiency
500,0.8329979879275654,0.8189134808853119,0.8913480885311871,0.2515090543259557,117,6.9576271186440675
1000,0.862,0.878,0.898,0.284,89,9.666666666666666
1500,0.838,0.824,0.856,0.264,133,6.201492537313433
2000,0.858,0.846,0.898,0.258,110,7.675675675675675
2500,0.828,0.832,0.854,0.25,133,6.1940298507462686
3000,0.882,0.876,0.888,0.222,100,8.702970297029703
3500,0.878,0.86,0.874,0.262,112,7.6902654867256635
4000,0.878,0.886,0.884,0.228,96,9.092783505154639
4500,0.884,0.852,0.872,0.244,112,7.68141592920354
5000,0.892,0.858,0.872,0.25,112,7.743362831858407
5500,0.896,0.85,0.882,0.258,110,7.864864864864865
6000,0.872,0.862,0.856,0.26,112,7.672566371681416
6500,0.892,0.872,0.896,0.25,101,8.647058823529411
7000,0.888,0.86,0.87,0.25,111,7.803571428571429
7500,0.894,0.858,0.88,0.24,102,8.504854368932039
8000,0.876,0.864,0.882,0.252,95,9.0625
8500,0.902,0.87,0.898,0.26,92,9.526881720430108
9000,0.894,0.886,0.9,0.262,89,9.88888888888889
9500,0.886,0.858,0.866,0.258,109,7.927272727272728
10000,0.888,0.886,0.884,0.244,106,8.289719626168225
10500,0.89,0.84,0.874,0.25,115,7.456896551724138
11000,0.914,0.854,0.896,0.24,88,9.932584269662922
11500,0.87,0.874,0.88,0.26,112,7.716814159292035
12000,0.92,0.898,0.896,0.268,80,11.222222222222221
12500,0.876,0.864,0.878,0.294,104,8.285714285714286
13000,0.846,0.868,0.874,0.256,112,7.584070796460177
13500,0.884,0.864,0.894,0.288,105,8.245283018867925
14000,0.882,0.882,0.898,0.26,102,8.563106796116505
14500,0.908,0.924,0.896,0.242,76,11.896103896103897
15000,0.91,0.862,0.908,0.242,85,10.30232558139535
15500,0.926,0.922,0.938,0.26,72,12.657534246575343
16000,0.888,0.864,0.902,0.23,114,7.6173913043478265
16500,0.88,0.862,0.9,0.276,117,7.38135593220339
17000,0.906,0.906,0.91,0.226,82,10.91566265060241
17500,0.924,0.916,0.928,0.276,69,13.142857142857142
18000,0.916,0.904,0.926,0.266,86,10.459770114942529
18500,0.914,0.898,0.932,0.25,88,10.179775280898877
19000,0.926,0.922,0.95,0.268,71,12.833333333333334
19500,0.942,0.922,0.946,0.248,63,14.5625
20000,0.928,0.93,0.954,0.246,61,14.983870967741936
20500,0.916,0.912,0.958,0.232,75,12.026315789473685
21000,0.924,0.922,0.962,0.278,70,13.0
21500,0.894,0.922,0.944,0.25,78,11.49367088607595
22000,0.922,0.912,0.96,0.278,80,11.320987654320987
22500,0.93,0.912,0.944,0.232,75,12.118421052631579
23000,0.918,0.91,0.944,0.234,81,11.146341463414634
23500,0.952,0.946,0.968,0.274,46,20.19148936170213
24000,0.928,0.908,0.96,0.248,79,11.475
24500,0.946,0.914,0.96,0.294,55,16.607142857142858
25000,0.934,0.928,0.964,0.234,56,16.333333333333332
