step,avg_raw_r1,avg_raw_r2,avg_tdma,avg_aloha,collisions_last_win,energy_efficiency
500,0.772635814889336,0.7404426559356136,0.7987927565392354,0.21730382293762576,189,3.957894736842105
1000,0.768,0.752,0.788,0.228,188,4.021164021164021
1500,0.778,0.75,0.78,0.238,189,4.021052631578947
2000,0.782,0.72,0.79,0.284,183,4.081521739130435
2500,0.828,0.748,0.812,0.2,179,4.377777777777778
3000,0.782,0.762,0.804,0.24,193,3.979381443298969
3500,0.786,0.784,0.794,0.244,167,4.6726190476190474
4000,0.83,0.728,0.812,0.226,195,3.9744897959183674
4500,0.83,0.778,0.842,0.226,174,4.594285714285714
5000,0.834,0.78,0.806,0.256,169,4.747058823529412
5500,0.842,0.778,0.8,0.246,164,4.909090909090909
6000,0.832,0.798,0.83,0.238,160,5.062111801242236
6500,0.842,0.8,0.822,0.214,153,5.3311688311688314
7000,0.836,0.788,0.808,0.224,169,4.776470588235294
7500,0.83,0.74,0.8,0.258,182,4.2896174863387975
8000,0.844,0.802,0.834,0.234,144,5.675862068965517
8500,0.822,0.78,0.792,0.282,176,4.52542372881356
9000,0.834,0.78,0.806,0.246,164,4.890909090909091
9500,0.82,0.768,0.792,0.25,177,4.46067415730337
10000,0.806,0.786,0.836,0.24,175,4.5227272727272725
10500,0.804,0.81,0.784,0.226,174,4.611428571428571
11000,0.834,0.788,0.8,0.234,173,4.660919540229885
11500,0.822,0.806,0.818,0.234,176,4.598870056497175
12000,0.846,0.8,0.812,0.198,166,4.92814371257485
12500,0.81,0.768,0.826,0.202,183,4.288043478260869
13000,0.802,0.762,0.818,0.192,175,4.443181818181818
13500,0.806,0.774,0.808,0.242,175,4.488636363636363
14000,0.826,0.796,0.822,0.238,175,4.607954545454546
14500,0.798,0.766,0.814,0.236,205,3.796116504854369
15000,0.838,0.81,0.824,0.234,165,4.963855421686747
15500,0.798,0.762,0.842,0.246,207,3.75
16000,0.844,0.808,0.838,0.238,166,4.946107784431137
16500,0.806,0.806,0.814,0.23,188,4.264550264550264
17000,0.856,0.854,0.868,0.24,134,6.333333333333333
17500,0.85,0.814,0.82,0.21,160,5.167701863354037
18000,0.836,0.834,0.868,0.26,162,5.122699386503068
18500,0.878,0.834,0.838,0.25,138,6.158273381294964
19000,0.886,0.85,0.862,0.236,120,7.1735537190082646
19500,0.834,0.822,0.858,0.206,158,5.2075471698113205
20000,0.884,0.83,0.846,0.222,117,7.262711864406779
20500,0.862,0.876,0.866,0.194,128,6.736434108527132
21000,0.844,0.88,0.856,0.234,135,6.338235294117647
21500,0.84,0.836,0.854,0.208,162,5.141104294478527
22000,0.816,0.834,0.854,0.214,172,4.76878612716763
22500,0.858,0.834,0.876,0.21,150,5.602649006622516
23000,0.852,0.848,0.84,0.2,147,5.743243243243243
23500,0.844,0.836,0.864,0.25,155,5.384615384615385
24000,0.862,0.848,0.846,0.254,132,6.428571428571429
24500,0.84,0.836,0.866,0.248,146,5.700680272108843
25000,0.864,0.822,0.858,0.238,144,5.813793103448276
