step,avg_raw_r1,avg_raw_r2,avg_tdma,avg_aloha,collisions_last_win,energy_efficiency
500,0.8209255533199196,0.8148893360160966,0.8752515090543259,0.08853118712273642,128,6.3023255813953485
1000,0.824,0.85,0.9,0.074,121,6.860655737704918
1500,0.862,0.882,0.898,0.074,98,8.808080808080808
2000,0.892,0.876,0.92,0.1,98,8.929292929292929
2500,0.888,0.888,0.902,0.106,98,8.969696969696969
3000,0.912,0.89,0.918,0.088,86,10.35632183908046
3500,0.906,0.902,0.884,0.096,84,10.635294117647058
4000,0.91,0.884,0.922,0.084,77,11.5
4500,0.91,0.896,0.924,0.096,80,11.148148148148149
5000,0.942,0.928,0.942,0.088,54,17.0
5500,0.932,0.912,0.924,0.082,71,12.805555555555555
6000,0.922,0.93,0.914,0.086,70,13.04225352112676
6500,0.916,0.922,0.896,0.078,80,11.345679012345679
7000,0.936,0.938,0.922,0.1,60,15.360655737704919
7500,0.924,0.924,0.938,0.078,74,12.32
8000,0.93,0.91,0.92,0.058,75,12.105263157894736
8500,0.938,0.942,0.94,0.09,59,15.666666666666666
9000,0.958,0.956,0.952,0.068,42,22.25581395348837
9500,0.944,0.93,0.936,0.1,62,14.873015873015873
10000,0.932,0.948,0.92,0.084,59,15.666666666666666
10500,0.928,0.948,0.926,0.086,60,15.37704918032787
11000,0.932,0.942,0.944,0.082,60,15.360655737704919
11500,0.954,0.936,0.95,0.1,53,17.5
12000,0.968,0.96,0.946,0.112,38,24.71794871794872
12500,0.864,0.896,0.906,0.064,93,9.361702127659575
13000,0.856,0.888,0.872,0.088,106,8.149532710280374
13500,0.882,0.916,0.882,0.114,89,9.988888888888889
14000,0.91,0.914,0.924,0.068,73,12.324324324324325
14500,0.924,0.934,0.94,0.08,61,14.983870967741936
15000,0.924,0.932,0.944,0.066,63,14.5
15500,0.908,0.948,0.934,0.094,67,13.647058823529411
16000,0.93,0.922,0.95,0.072,69,13.228571428571428
16500,0.904,0.928,0.95,0.082,78,11.594936708860759
17000,0.954,0.946,0.974,0.094,50,18.627450980392158
17500,0.946,0.948,0.97,0.084,52,17.867924528301888
18000,0.942,0.96,0.974,0.09,46,20.23404255319149
18500,0.956,0.96,0.986,0.078,40,23.365853658536587
19000,0.936,0.934,0.968,0.084,63,14.609375
19500,0.952,0.958,0.964,0.082,43,21.704545454545453
20000,0.96,0.96,0.974,0.092,36,25.945945945945947
20500,0.944,0.952,0.972,0.096,48,19.346938775510203
21000,0.954,0.962,0.96,0.092,37,25.210526315789473
21500,0.942,0.966,0.958,0.088,46,20.29787234042553
22000,0.942,0.948,0.98,0.066,53,17.5
22500,0.954,0.952,0.962,0.08,42,22.162790697674417
23000,0.942,0.956,0.97,0.09,49,18.98
23500,0.952,0.966,0.968,0.086,41,22.833333333333332
24000,0.93,0.966,0.952,0.076,48,19.346938775510203
24500,0.97,0.98,0.986,0.102,22,42.391304347826086
25000,0.962,0.986,0.978,0.064,22,42.34782608695652
