step,avg_raw_r1,avg_raw_r2,avg_tdma,avg_aloha,collisions_last_win,energy_efficiency
500,0.8732394366197183,0.8591549295774648,0.8953722334004024,0.2776659959758551,95,8.96875
1000,0.872,0.864,0.88,0.228,100,8.594059405940595
1500,0.856,0.83,0.88,0.232,128,6.534883720930233
2000,0.852,0.85,0.9,0.278,121,6.975409836065574
2500,0.852,0.834,0.902,0.218,115,7.267241379310345
3000,0.878,0.878,0.89,0.27,102,8.524271844660195
3500,0.878,0.854,0.888,0.256,115,7.4655172413793105
4000,0.89,0.872,0.896,0.26,95,9.177083333333334
4500,0.874,0.804,0.87,0.268,131,6.356060606060606
5000,0.878,0.834,0.886,0.286,108,7.853211009174312
5500,0.876,0.778,0.876,0.262,122,6.723577235772358
6000,0.914,0.812,0.896,0.262,94,9.08421052631579
6500,0.894,0.82,0.882,0.248,112,7.584070796460177
7000,0.888,0.806,0.888,0.254,122,6.8861788617886175
7500,0.888,0.842,0.862,0.24,105,8.160377358490566
8000,0.86,0.802,0.87,0.23,124,6.648
8500,0.89,0.812,0.874,0.246,103,8.182692307692308
9000,0.892,0.79,0.888,0.276,94,8.852631578947369
9500,0.894,0.786,0.882,0.27,102,8.155339805825243
10000,0.91,0.828,0.892,0.266,77,11.14102564102564
10500,0.89,0.802,0.884,0.244,99,8.46
11000,0.912,0.804,0.872,0.242,97,8.755102040816327
11500,0.902,0.798,0.88,0.262,105,8.018867924528301
12000,0.922,0.81,0.896,0.238,83,10.30952380952381
12500,0.816,0.822,0.874,0.262,128,6.348837209302325
13000,0.864,0.842,0.864,0.23,104,8.123809523809523
13500,0.876,0.888,0.904,0.268,81,10.75609756097561
14000,0.886,0.838,0.892,0.254,87,9.795454545454545
14500,0.892,0.874,0.908,0.242,90,9.703296703296703
15000,0.89,0.904,0.924,0.242,77,11.5
15500,0.862,0.862,0.9,0.226,121,7.065573770491803
16000,0.886,0.89,0.908,0.248,86,10.206896551724139
16500,0.876,0.858,0.92,0.26,103,8.336538461538462
17000,0.886,0.898,0.926,0.252,86,10.25287356321839
17500,0.904,0.888,0.932,0.256,73,12.108108108108109
18000,0.886,0.894,0.934,0.258,83,10.595238095238095
18500,0.884,0.904,0.936,0.274,84,10.51764705882353
19000,0.916,0.9,0.95,0.22,58,15.389830508474576
19500,0.9,0.918,0.942,0.272,61,14.661290322580646
20000,0.922,0.9,0.938,0.222,67,13.397058823529411
20500,0.91,0.904,0.958,0.242,77,11.628205128205128
21000,0.916,0.878,0.954,0.208,74,11.96
21500,0.926,0.886,0.954,0.238,71,12.583333333333334
22000,0.916,0.906,0.946,0.256,69,13.014285714285714
22500,0.924,0.884,0.948,0.242,74,12.053333333333333
23000,0.91,0.914,0.936,0.232,68,13.217391304347826
23500,0.948,0.932,0.962,0.214,47,19.583333333333332
24000,0.922,0.93,0.95,0.258,62,14.698412698412698
24500,0.924,0.934,0.954,0.252,62,14.746031746031745
25000,0.936,0.914,0.952,0.238,56,16.228070175438596
