D2LS_PENALTY_WEIGHT,USE_CLOCK,BETA_COOP,ETA_COOP,reward_mode,seed,agent1_throughput,agent2_throughput,sum_drl_throughput,tdma_throughput,aloha_throughput,total_coexist_throughput,jain_fairness,d2ls_agent1,d2ls_agent2,total_collisions,collision_rate,collisions_per_1k,energy_per_bit_agent1,energy_per_bit_agent2,eval_agents_throughput,eval_coexist_throughput,eval_collisions_per_1k
0.02,True,0.1,0.1,cooperative,42,0.9566,0.9404,1.897,0.9624,0.2392,3.0986,0.9999270771394936,1.0972677595628415,1.1153508771929825,3500,0.14,129.48000000000002,0.043164846548968655,0.04401795932740364,1.9263333333333332,3.1243333333333334,82.66666666666667
0.02,True,0.1,0.1,cooperative,43,0.9422,0.9266,1.8688,0.9664,0.2508,3.086,0.9999303223838083,1.1128456735057983,1.1467086834733893,4057,0.16228,139.44,0.04394638540979811,0.045165078361408914,1.9006666666666667,3.115666666666667,87.66666666666667
0.02,True,0.1,0.1,cooperative,44,0.9334,0.9276,1.861,0.9548,0.2556,3.0714,0.9999902868740004,1.095617529880478,1.1216317365269461,4149,0.16596,141.56,0.04397924179786947,0.04479283314669452,1.8646666666666667,3.0796666666666668,109.66666666666666
0.05,True,0.1,0.1,cooperative,42,0.9476,0.9392,1.8868,0.9632,0.2418,3.0918,0.9999801802473918,1.1152300133988389,1.1143092105263157,4207,0.16828,145.56,0.04393866162836487,0.04431641923332398,1.8543333333333334,3.0436666666666667,115.33333333333333
0.05,True,0.1,0.1,cooperative,43,0.9514,0.9512,1.9026,0.9652,0.2484,3.1162,0.9999999889499308,1.1057644110275688,1.1172381835032437,3608,0.14432,130.56,0.043474480479956376,0.043784754148603534,1.9306666666666668,3.1483333333333334,73.33333333333333
0.05,True,0.1,0.1,cooperative,44,0.9358,0.9262,1.862,0.9604,0.255,3.0774,0.9999734189845029,1.1032801418439717,1.1010998307952622,3956,0.15824,138.92,0.04397344004221257,0.044183272213138156,1.8746666666666667,3.094,97.0
