BETA_COOP,ETA_COOP,reward_mode,seed,agent1_throughput,agent2_throughput,sum_drl_throughput,tdma_throughput,aloha_throughput,total_coexist_throughput,jain_fairness,d2ls_agent1,d2ls_agent2,total_collisions,collision_rate,collisions_per_1k,energy_per_bit_agent1,energy_per_bit_agent2,eval_agents_throughput,eval_coexist_throughput,eval_collisions_per_1k
0.02,0.05,cooperative,42,0.8736208625877633,0.8625877632898696,1.7362086258776328,0.8876629889669007,0.2567703109327984,2.880641925777332,0.9999596193135817,1.1904761904761905,1.167883211678832,193,0.193,173.0,0.5632032146951069,0.5676162790691094,1.61,2.743333333333333,193.33333333333334
0.02,0.1,cooperative,42,0.872617853560682,0.8615847542627884,1.7342026078234705,0.8876629889669007,0.25275827482447344,2.8746238716148445,0.9999595258435853,1.1496062992125984,1.181159420289855,195,0.195,175.0,0.5638505747119971,0.5682770663555686,1.8266666666666667,2.95,173.33333333333334
0.02,0.15,cooperative,42,0.8645937813440321,0.8565697091273822,1.7211634904714144,0.8866599799398195,0.2547642928786359,2.8625877632898695,0.9999782661849006,1.1555555555555554,1.167832167832168,205,0.205,181.0,0.5690835266814759,0.5705503512873903,1.7966666666666666,2.953333333333333,170.0
0.05,0.05,cooperative,42,0.8736208625877633,0.8555667001003009,1.7291875626880642,0.8916750250752257,0.25376128385155466,2.8746238716148445,0.9998910008410429,1.1496062992125984,1.1655172413793105,199,0.199,176.0,0.5632032146951069,0.5713950762009736,1.64,2.74,263.3333333333333
0.05,0.1,cooperative,42,0.8706118355065195,0.8535606820461384,1.7241725175526579,0.8896690070210632,0.2567703109327984,2.8706118355065198,0.9999022079350308,1.1550387596899225,1.1917808219178083,201,0.201,176.0,0.5651497695846038,0.5722091656867564,1.7566666666666666,2.933333333333333,160.0
0.05,0.15,cooperative,42,0.8686058174523571,0.8515546639919759,1.720160481444333,0.8836509528585758,0.2567703109327984,2.860581745235707,0.9999017512750236,1.1374045801526718,1.1689189189189189,207,0.207,181.0,0.5664549653573151,0.5744405182560983,1.6266666666666667,2.763333333333333,253.33333333333334
0.1,0.05,cooperative,42,0.8676028084252758,0.8505516549648947,1.7181544633901704,0.8896690070210632,0.2547642928786359,2.8625877632898695,0.9999015217446119,1.1666666666666667,1.167785234899329,212,0.212,182.0,0.5671098265889413,0.5761792452823414,1.83,2.96,166.66666666666666
0.1,0.1,cooperative,42,0.8716148445336008,0.8545636910732196,1.7261785356068204,0.8856569709127382,0.2587763289869609,2.8706118355065198,0.9999024350720596,1.140625,1.1724137931034482,204,0.204,178.0,0.5643268124274303,0.5732981220650567,1.8566666666666667,2.98,160.0
0.1,0.15,cooperative,42,0.8676028084252758,0.8445336008024072,1.712136409227683,0.8886659979939819,0.25576730190571717,2.856569709127382,0.9998184861400956,1.1742424242424243,1.2129032258064516,204,0.204,178.0,0.5671098265889413,0.5752969121133338,1.76,2.8766666666666665,206.66666666666666
