BETA_COOP,ETA_COOP,reward_mode,seed,agent1_throughput,agent2_throughput,sum_drl_throughput,tdma_throughput,aloha_throughput,total_coexist_throughput,jain_fairness,d2ls_agent1,d2ls_agent2,total_collisions,collision_rate,collisions_per_1k,energy_per_bit_agent1,energy_per_bit_agent2,eval_agents_throughput,eval_coexist_throughput,eval_collisions_per_1k
0.1,0.1,cooperative,42,0.9406,0.9292,1.8698000000000001,0.966,0.241,3.0768,0.9999628290852971,1.1113028472821398,1.1704654895666131,4143,0.16572,149.84,0.04409365492305463,0.04569757345884724,1.8866666666666667,3.093,92.33333333333334
0.1,0.1,cooperative,43,0.9546,0.9178,1.8723999999999998,0.9532,0.2516,3.0772,0.9996138725765815,1.1184792219274977,1.1420765027322404,4249,0.16996,154.28,0.04398504508466928,0.04531242919932732,1.8703333333333334,3.074333333333333,97.0
0.1,0.1,cooperative,44,0.9556,0.8948,1.8504,0.9526,0.2588,3.0618,0.9989215319250636,1.1169647172547124,1.1610002809778028,4238,0.16952,153.56,0.043614794138169766,0.04664396660291774,1.8976666666666666,3.116,86.0
0.02,0.1,cooperative,42,0.9232,0.9082,1.8314,0.9514,0.238,3.0208,0.9999329209404175,1.1143705904196064,1.187889077532541,4598,0.18392,160.20000000000002,0.04483500717359914,0.04659180915994751,1.8333333333333333,3.027,114.66666666666667
0.02,0.1,cooperative,43,0.9188,0.8602,1.779,0.9388,0.2492,2.967,0.9989161420510042,1.1275688251260179,1.1649365628604382,4908,0.19632,171.84,0.04460502252553439,0.046446818392937926,1.752,2.9206666666666665,151.66666666666669
0.02,0.1,cooperative,44,0.9264,0.9186,1.845,0.9564,0.2554,3.0568,0.9999821273602195,1.1336173508907823,1.1462328767123289,4638,0.18552,160.8,0.04461298237786997,0.045296009421567904,1.7853333333333334,2.973333333333333,150.66666666666666
