LAMBDA_COLLISION,REWARD_MODE,USE_CLOCK,BETA_COOP,ETA_COOP,D2LS_PENALTY_WEIGHT,reward_mode,seed,agent1_throughput,agent2_throughput,sum_drl_throughput,tdma_throughput,aloha_throughput,total_coexist_throughput,jain_fairness,d2ls_agent1,d2ls_agent2,total_collisions,collision_rate,collisions_per_1k,energy_per_bit_agent1,energy_per_bit_agent2,eval_agents_throughput,eval_coexist_throughput,eval_collisions_per_1k
0.1,cooperative,True,0.1,0.1,0.05,cooperative,42,0.8655967903711134,0.8565697091273822,1.7221664994984955,0.8896690070210632,0.25576730190571717,2.867602808425276,0.999972525329272,1.171641791044776,1.1608391608391608,208,0.208,180.0,0.5682502896864808,0.5721311475403157,1.89,3.066666666666667,120.0
0.2,cooperative,True,0.1,0.1,0.05,cooperative,42,0.8706118355065195,0.8615847542627884,1.732196589769308,0.8946840521564694,0.25075225677031093,2.8776328986960884,0.999972842577474,1.1627906976744187,1.1884057971014492,198,0.198,175.0,0.5651497695846038,0.568800931314823,1.84,3.0,146.66666666666666
0.3,cooperative,True,0.1,0.1,0.05,cooperative,42,0.8635907723169508,0.8515546639919759,1.7151454363089267,0.8936810431293881,0.2547642928786359,2.8635907723169507,0.9999507565032193,1.1911764705882353,1.1891891891891893,215,0.215,182.0,0.5695702671305827,0.5755005889274749,1.8166666666666667,2.98,160.0
