USE_CLOCK,BETA_COOP,ETA_COOP,reward_mode,seed,agent1_throughput,agent2_throughput,sum_drl_throughput,tdma_throughput,aloha_throughput,total_coexist_throughput,jain_fairness,d2ls_agent1,d2ls_agent2,total_collisions,collision_rate,collisions_per_1k,energy_per_bit_agent1,energy_per_bit_agent2,eval_agents_throughput,eval_coexist_throughput,eval_collisions_per_1k
False,0.1,0.1,cooperative,42,0.9406,0.9292,1.8698000000000001,0.966,0.241,3.0768,0.9999628290852971,1.1113028472821398,1.1704654895666131,4143,0.16572,149.84,0.04409365492305463,0.04569757345884724,1.8866666666666667,3.093,92.33333333333334
False,0.1,0.1,cooperative,43,0.9546,0.9178,1.8723999999999998,0.9532,0.2516,3.0772,0.9996138725765815,1.1184792219274977,1.1420765027322404,4249,0.16996,154.28,0.04398504508466928,0.04531242919932732,1.8703333333333334,3.074333333333333,97.0
False,0.1,0.1,cooperative,44,0.9556,0.8948,1.8504,0.9526,0.2588,3.0618,0.9989215319250636,1.1169647172547124,1.1610002809778028,4238,0.16952,153.56,0.043614794138169766,0.04664396660291774,1.8976666666666666,3.116,86.0
True,0.1,0.1,cooperative,42,0.9476,0.9392,1.8868,0.9632,0.2418,3.0918,0.9999801802473918,1.1152300133988389,1.1143092105263157,4207,0.16828,145.56,0.04393866162836487,0.04431641923332398,1.8543333333333334,3.0436666666666667,115.33333333333333
True,0.1,0.1,cooperative,43,0.9514,0.9512,1.9026,0.9652,0.2484,3.1162,0.9999999889499308,1.1057644110275688,1.1172381835032437,3608,0.14432,130.56,0.043474480479956376,0.043784754148603534,1.9306666666666668,3.1483333333333334,73.33333333333333
True,0.1,0.1,cooperative,44,0.9358,0.9262,1.862,0.9604,0.255,3.0774,0.9999734189845029,1.1032801418439717,1.1010998307952622,3956,0.15824,138.92,0.04397344004221257,0.044183272213138156,1.8746666666666667,3.094,97.0
