D2LS_PENALTY_WEIGHT,USE_CLOCK,BETA_COOP,ETA_COOP,reward_mode,seed,agent1_throughput,agent2_throughput,sum_drl_throughput,tdma_throughput,aloha_throughput,total_coexist_throughput,jain_fairness,d2ls_agent1,d2ls_agent2,total_collisions,collision_rate,collisions_per_1k,energy_per_bit_agent1,energy_per_bit_agent2,eval_agents_throughput,eval_coexist_throughput,eval_collisions_per_1k
0.0,True,0.1,0.1,cooperative,42,0.8706118355065195,0.8635907723169508,1.7342026078234705,0.8906720160481444,0.25576730190571717,2.880641925777332,0.9999836092443863,1.2015503875968991,1.125,195,0.195,173.0,0.5651497695846038,0.5671312427403422,1.8133333333333332,2.9433333333333334,173.33333333333334
0.02,True,0.1,0.1,cooperative,42,0.8826479438314945,0.8615847542627884,1.7442326980942828,0.8896690070210632,0.2587763289869609,2.892678034102307,0.9998541937642541,1.170940170940171,1.1594202898550725,180,0.18,165.0,0.5574431818175498,0.5663562281716362,1.8066666666666666,2.966666666666667,160.0
0.05,True,0.1,0.1,cooperative,42,0.8706118355065195,0.8615847542627884,1.732196589769308,0.8946840521564694,0.25075225677031093,2.8776328986960884,0.999972842577474,1.1627906976744187,1.1884057971014492,198,0.198,175.0,0.5651497695846038,0.568800931314823,1.84,3.0,146.66666666666666
0.1,True,0.1,0.1,cooperative,42,0.8736208625877633,0.8625877632898696,1.7362086258776328,0.8896690070210632,0.25376128385155466,2.8796389167502507,0.9999596193135817,1.1428571428571428,1.1532846715328466,194,0.194,174.0,0.5632032146951069,0.5681395348830623,1.7933333333333332,2.933333333333333,183.33333333333331
