reward_mode,seed,agent1_throughput,agent2_throughput,sum_drl_throughput,tdma_throughput,aloha_throughput,total_coexist_throughput,jain_fairness,d2ls_agent1,d2ls_agent2,total_collisions,collision_rate,collisions_per_1k,energy_per_bit_agent1,energy_per_bit_agent2,eval_agents_throughput,eval_coexist_throughput,eval_collisions_per_1k
independent,42,0.9536,0.9284,1.8820000000000001,0.9562,0.2414,3.0796,0.9998207397554059,1.1263494602159136,1.1793682990437555,4534,0.18136,158.88,0.04445234708392405,0.046412327114079346,1.906,3.0993333333333335,90.66666666666667
independent,43,0.9182,0.8792,1.7974,0.9448,0.2516,2.9938,0.9995294179903583,1.1256830601092895,1.1839872746553552,4993,0.19972,168.72,0.04493978069386819,0.04711425206124631,1.8196666666666668,3.0056666666666665,134.0
independent,44,0.944,0.8924,1.8363999999999998,0.9572,0.2584,3.052,0.9992110997660841,1.121212121212121,1.1904012588512982,4633,0.18532,159.95999999999998,0.04440103010389644,0.047205438066463025,1.898,3.132,77.66666666666666
cooperative,42,0.9146,0.8916,1.8062,0.9416,0.2436,2.9914,0.9998378736595341,1.1113569321533923,1.1517996870109546,4887,0.19548,171.48,0.04487121959974671,0.045865247901662805,1.7713333333333334,2.9503333333333335,132.0
cooperative,43,0.9372,0.8814,1.8186,0.9254,0.2532,2.9972,0.9990594424948425,1.137904468412943,1.1534279673814558,4918,0.19672,173.84,0.04464086424712983,0.046110573154422185,1.8166666666666667,2.9956666666666667,139.0
cooperative,44,0.9384,0.9148,1.8532,0.9516,0.2562,3.061,0.9998378529702345,1.126047220106626,1.1311018131101813,4769,0.19076,163.0,0.04470072862187454,0.0451895702471849,1.8533333333333333,3.067,108.66666666666666
