step,avg_raw_r1,avg_raw_r2,avg_tdma,avg_aloha,collisions_last_win,energy_efficiency
500,0.8672032193158954,0.8490945674044266,0.8933601609657947,0.2796780684104628,103,8.201923076923077
1000,0.876,0.86,0.878,0.238,101,8.509803921568627
1500,0.87,0.834,0.874,0.226,121,6.983606557377049
2000,0.84,0.844,0.904,0.272,127,6.578125
2500,0.852,0.858,0.872,0.212,116,7.3076923076923075
3000,0.866,0.858,0.856,0.274,121,7.065573770491803
3500,0.892,0.884,0.888,0.258,97,9.061224489795919
4000,0.896,0.856,0.884,0.248,93,9.319148936170214
4500,0.874,0.81,0.89,0.268,119,7.016666666666667
5000,0.89,0.802,0.906,0.272,96,8.721649484536082
5500,0.9,0.854,0.86,0.25,102,8.514563106796116
6000,0.894,0.846,0.87,0.258,96,8.969072164948454
6500,0.904,0.82,0.868,0.232,108,7.908256880733945
7000,0.918,0.816,0.882,0.252,94,9.126315789473685
7500,0.902,0.822,0.88,0.23,99,8.62
8000,0.894,0.844,0.906,0.238,97,8.86734693877551
8500,0.88,0.82,0.866,0.238,106,7.94392523364486
9000,0.882,0.818,0.862,0.28,98,8.585858585858587
9500,0.89,0.816,0.88,0.274,91,9.271739130434783
10000,0.864,0.874,0.854,0.256,92,9.344086021505376
10500,0.886,0.862,0.858,0.26,113,7.666666666666667
11000,0.918,0.856,0.87,0.254,88,9.96629213483146
11500,0.904,0.862,0.882,0.274,97,9.010204081632653
12000,0.884,0.854,0.858,0.228,111,7.758928571428571
12500,0.85,0.844,0.894,0.266,109,7.7
13000,0.86,0.84,0.876,0.234,112,7.522123893805309
13500,0.882,0.84,0.896,0.258,107,7.972222222222222
14000,0.898,0.868,0.896,0.24,93,9.393617021276595
14500,0.878,0.868,0.864,0.238,106,8.158878504672897
15000,0.912,0.892,0.924,0.228,67,13.264705882352942
15500,0.908,0.882,0.908,0.234,83,10.654761904761905
16000,0.924,0.904,0.932,0.248,72,12.520547945205479
16500,0.958,0.914,0.96,0.262,43,21.272727272727273
17000,0.956,0.922,0.944,0.258,53,17.38888888888889
17500,0.924,0.898,0.94,0.244,76,11.831168831168831
18000,0.946,0.9,0.95,0.252,61,14.887096774193548
18500,0.962,0.912,0.954,0.28,50,18.372549019607842
19000,0.96,0.934,0.968,0.236,40,23.097560975609756
19500,0.954,0.916,0.982,0.27,47,19.479166666666668
20000,0.942,0.926,0.952,0.236,52,17.62264150943396
20500,0.938,0.926,0.97,0.246,60,15.278688524590164
21000,0.94,0.932,0.97,0.218,44,20.8
21500,0.894,0.922,0.962,0.24,53,16.814814814814813
22000,0.922,0.93,0.972,0.258,48,18.897959183673468
22500,0.942,0.916,0.964,0.258,58,15.745762711864407
23000,0.958,0.912,0.968,0.228,54,17.0
23500,0.944,0.938,0.956,0.224,49,18.82
24000,0.944,0.944,0.962,0.256,49,18.88
24500,0.966,0.93,0.972,0.238,37,24.94736842105263
25000,0.958,0.942,0.964,0.244,34,27.142857142857142
