step,avg_raw_r1,avg_raw_r2,avg_tdma,avg_aloha,collisions_last_win,energy_efficiency
500,0.869215291750503,0.8591549295774648,0.8913480885311871,0.27565392354124746,97,8.76530612244898
1000,0.872,0.868,0.89,0.236,98,8.787878787878787
