step,avg_raw_r1,avg_raw_r2,avg_tdma,avg_aloha,collisions_last_win,energy_efficiency
500,0.8048289738430584,0.806841046277666,0.8611670020120724,0.25553319919517103,143,5.5625
1000,0.828,0.85,0.878,0.25,116,7.170940170940171
1500,0.852,0.872,0.886,0.266,107,7.981481481481482
2000,0.882,0.87,0.886,0.254,108,8.036697247706423
2500,0.864,0.862,0.89,0.26,126,6.7952755905511815
3000,0.892,0.874,0.882,0.264,96,9.103092783505154
3500,0.88,0.872,0.886,0.26,109,7.963636363636364
4000,0.862,0.876,0.9,0.258,115,7.491379310344827
4500,0.88,0.866,0.866,0.226,112,7.725663716814159
5000,0.888,0.876,0.88,0.23,98,8.909090909090908
5500,0.898,0.872,0.87,0.26,96,9.123711340206185
6000,0.894,0.852,0.888,0.26,101,8.558823529411764
6500,0.886,0.828,0.904,0.234,112,7.584070796460177
7000,0.864,0.892,0.856,0.236,115,7.568965517241379
7500,0.9,0.88,0.878,0.226,92,9.56989247311828
8000,0.894,0.884,0.868,0.266,95,9.260416666666666
8500,0.906,0.876,0.874,0.242,101,8.735294117647058
9000,0.896,0.864,0.862,0.28,102,8.54368932038835
9500,0.91,0.87,0.876,0.272,98,8.98989898989899
10000,0.882,0.876,0.868,0.234,112,7.778761061946903
10500,0.89,0.866,0.866,0.25,116,7.504273504273504
11000,0.902,0.868,0.874,0.282,99,8.85
11500,0.892,0.866,0.904,0.226,108,8.064220183486238
12000,0.884,0.868,0.874,0.24,104,8.342857142857143
12500,0.868,0.846,0.896,0.276,109,7.790909090909091
13000,0.84,0.842,0.858,0.232,119,7.008333333333334
13500,0.886,0.844,0.89,0.212,111,7.723214285714286
14000,0.892,0.838,0.866,0.31,109,7.863636363636363
14500,0.904,0.826,0.858,0.256,110,7.792792792792793
15000,0.918,0.842,0.882,0.23,104,8.380952380952381
15500,0.892,0.852,0.864,0.268,102,8.466019417475728
16000,0.906,0.848,0.902,0.222,90,9.637362637362637
16500,0.914,0.886,0.91,0.282,74,12.0
17000,0.926,0.876,0.924,0.24,81,10.987804878048781
17500,0.928,0.826,0.89,0.246,108,8.045871559633028
18000,0.934,0.88,0.926,0.244,73,12.256756756756756
18500,0.948,0.856,0.946,0.242,72,12.356164383561644
19000,0.914,0.86,0.93,0.246,95,9.239583333333334
19500,0.93,0.896,0.942,0.28,69,13.042857142857143
20000,0.924,0.858,0.924,0.244,94,9.378947368421052
20500,0.912,0.852,0.91,0.264,89,9.8
21000,0.924,0.892,0.946,0.23,73,12.27027027027027
21500,0.926,0.854,0.932,0.258,84,10.470588235294118
22000,0.906,0.856,0.938,0.268,79,11.0125
22500,0.912,0.866,0.94,0.218,90,9.76923076923077
23000,0.92,0.864,0.946,0.234,78,11.291139240506329
23500,0.924,0.852,0.95,0.26,80,10.962962962962964
24000,0.934,0.874,0.954,0.228,70,12.732394366197184
24500,0.92,0.828,0.92,0.276,87,9.931818181818182
25000,0.91,0.864,0.952,0.256,77,11.371794871794872
