step,avg_raw_r1,avg_raw_r2,avg_tdma,avg_aloha,collisions_last_win,energy_efficiency
500,0.8651911468812877,0.8591549295774648,0.89738430583501,0.27565392354124746,99,8.57
1000,0.876,0.864,0.892,0.226,99,8.7
1500,0.86,0.846,0.896,0.234,119,7.108333333333333
2000,0.866,0.898,0.91,0.278,98,8.909090909090908
2500,0.85,0.89,0.902,0.214,112,7.699115044247788
3000,0.868,0.872,0.902,0.272,115,7.5
3500,0.892,0.862,0.918,0.248,106,8.19626168224299
4000,0.872,0.864,0.906,0.242,116,7.418803418803419
4500,0.888,0.874,0.894,0.282,113,7.728070175438597
5000,0.904,0.898,0.908,0.282,95,9.385416666666666
5500,0.896,0.894,0.884,0.254,100,8.861386138613861
6000,0.896,0.86,0.88,0.264,118,7.378151260504202
6500,0.89,0.89,0.916,0.232,107,8.24074074074074
7000,0.894,0.896,0.916,0.234,103,8.60576923076923
7500,0.918,0.908,0.9,0.234,86,10.494252873563218
8000,0.916,0.896,0.908,0.234,96,9.34020618556701
8500,0.902,0.894,0.9,0.236,98,9.070707070707071
9000,0.892,0.894,0.874,0.264,104,8.504761904761905
9500,0.916,0.91,0.902,0.278,87,10.375
10000,0.874,0.89,0.874,0.256,114,7.6695652173913045
10500,0.924,0.914,0.904,0.244,79,11.4875
11000,0.914,0.906,0.898,0.232,92,9.78494623655914
11500,0.9,0.924,0.918,0.266,87,10.363636363636363
12000,0.892,0.898,0.896,0.218,103,8.60576923076923
12500,0.844,0.84,0.884,0.252,127,6.578125
13000,0.86,0.86,0.874,0.22,119,7.166666666666667
13500,0.924,0.904,0.914,0.258,71,12.694444444444445
14000,0.922,0.902,0.93,0.248,71,12.666666666666666
14500,0.906,0.892,0.914,0.232,95,9.364583333333334
15000,0.922,0.898,0.918,0.24,79,11.375
15500,0.934,0.924,0.944,0.25,63,14.515625
16000,0.926,0.918,0.958,0.248,72,12.63013698630137
16500,0.916,0.89,0.954,0.27,78,11.430379746835444
17000,0.916,0.904,0.946,0.25,85,10.581395348837209
17500,0.93,0.908,0.948,0.254,72,12.58904109589041
18000,0.914,0.882,0.946,0.252,94,9.452631578947368
18500,0.922,0.896,0.96,0.262,84,10.694117647058823
19000,0.95,0.924,0.958,0.226,55,16.732142857142858
19500,0.94,0.95,0.97,0.278,51,18.173076923076923
20000,0.956,0.95,0.952,0.236,37,25.07894736842105
20500,0.95,0.936,0.958,0.242,45,20.5
21000,0.962,0.942,0.954,0.216,40,23.21951219512195
21500,0.942,0.946,0.958,0.236,53,17.48148148148148
22000,0.946,0.94,0.972,0.264,54,17.145454545454545
22500,0.94,0.944,0.97,0.268,52,17.77358490566038
23000,0.94,0.908,0.968,0.234,68,13.391304347826088
23500,0.946,0.948,0.968,0.21,49,18.94
24000,0.956,0.944,0.966,0.26,46,20.21276595744681
24500,0.952,0.954,0.97,0.252,45,20.717391304347824
25000,0.942,0.93,0.948,0.236,56,16.42105263157895
