step,avg_raw_r1,avg_raw_r2,avg_tdma,avg_aloha,collisions_last_win,energy_efficiency
500,0.8792756539235412,0.8611670020120724,0.8993963782696177,0.2796780684104628,91,9.402173913043478
1000,0.886,0.862,0.88,0.238,89,9.71111111111111
1500,0.864,0.842,0.892,0.236,117,7.228813559322034
2000,0.86,0.85,0.906,0.274,107,7.916666666666667
2500,0.862,0.884,0.906,0.214,108,8.009174311926605
3000,0.872,0.86,0.87,0.274,114,7.530434782608696
3500,0.904,0.908,0.922,0.242,79,11.325
4000,0.908,0.898,0.902,0.266,77,11.576923076923077
4500,0.89,0.878,0.87,0.27,110,7.963963963963964
5000,0.928,0.922,0.934,0.28,67,13.602941176470589
5500,0.908,0.854,0.908,0.26,83,10.488095238095237
6000,0.908,0.92,0.904,0.258,81,11.146341463414634
6500,0.928,0.934,0.922,0.246,64,14.323076923076924
7000,0.928,0.912,0.938,0.262,72,12.602739726027398
7500,0.936,0.938,0.912,0.234,56,16.43859649122807
8000,0.914,0.928,0.912,0.246,74,12.28
8500,0.922,0.922,0.914,0.238,70,12.985915492957746
9000,0.926,0.896,0.888,0.272,77,11.679487179487179
9500,0.926,0.904,0.916,0.258,84,10.764705882352942
10000,0.934,0.908,0.916,0.248,68,13.347826086956522
10500,0.956,0.898,0.92,0.246,61,14.951612903225806
11000,0.924,0.934,0.9,0.23,67,13.661764705882353
11500,0.934,0.922,0.938,0.256,69,13.257142857142858
12000,0.944,0.928,0.922,0.23,56,16.42105263157895
12500,0.842,0.832,0.868,0.266,129,6.438461538461539
13000,0.884,0.886,0.872,0.224,95,9.21875
13500,0.912,0.884,0.89,0.262,80,11.08641975308642
14000,0.908,0.872,0.928,0.244,85,10.348837209302326
14500,0.912,0.89,0.904,0.236,89,10.011111111111111
15000,0.922,0.876,0.904,0.236,82,10.831325301204819
15500,0.958,0.932,0.948,0.25,48,19.285714285714285
16000,0.946,0.918,0.944,0.25,59,15.533333333333333
16500,0.944,0.908,0.966,0.264,59,15.433333333333334
17000,0.946,0.908,0.934,0.252,63,14.484375
17500,0.952,0.92,0.956,0.258,55,16.714285714285715
18000,0.968,0.916,0.962,0.256,43,21.40909090909091
18500,0.966,0.916,0.97,0.28,49,18.82
19000,0.964,0.946,0.98,0.236,35,26.52777777777778
19500,0.94,0.906,0.962,0.26,67,13.573529411764707
20000,0.968,0.964,0.958,0.23,33,28.41176470588235
20500,0.966,0.922,0.956,0.244,54,17.163636363636364
21000,0.952,0.93,0.958,0.216,57,16.224137931034484
21500,0.948,0.936,0.966,0.24,54,17.12727272727273
22000,0.956,0.944,0.968,0.248,49,19.0
22500,0.966,0.96,0.966,0.266,35,26.75
23000,0.968,0.956,0.968,0.24,32,29.151515151515152
23500,0.958,0.936,0.958,0.212,53,17.537037037037038
24000,0.956,0.934,0.97,0.258,51,18.173076923076923
24500,0.952,0.934,0.962,0.244,55,16.839285714285715
25000,0.944,0.952,0.952,0.224,48,19.346938775510203
