step,avg_raw_r1,avg_raw_r2,avg_tdma,avg_aloha,collisions_last_win,energy_efficiency
500,0.8571428571428571,0.8551307847082495,0.8893360160965795,0.4346076458752515,106,7.953271028037383
1000,0.856,0.856,0.892,0.4,112,7.575221238938053
1500,0.862,0.836,0.89,0.412,126,6.68503937007874
2000,0.86,0.87,0.898,0.394,109,7.863636363636363
2500,0.826,0.864,0.874,0.362,135,6.213235294117647
3000,0.86,0.878,0.89,0.426,118,7.302521008403361
3500,0.858,0.864,0.89,0.41,128,6.674418604651163
4000,0.882,0.834,0.876,0.424,122,6.975609756097561
4500,0.872,0.872,0.884,0.43,114,7.582608695652174
5000,0.87,0.862,0.906,0.448,125,6.873015873015873
5500,0.882,0.898,0.898,0.424,99,8.9
6000,0.882,0.876,0.902,0.424,115,7.577586206896552
6500,0.898,0.888,0.906,0.418,93,9.5
7000,0.894,0.908,0.9,0.406,95,9.385416666666666
7500,0.912,0.878,0.896,0.428,94,9.421052631578947
8000,0.898,0.9,0.89,0.404,96,9.268041237113403
8500,0.882,0.9,0.87,0.408,102,8.650485436893204
9000,0.904,0.894,0.902,0.402,91,9.771739130434783
9500,0.9,0.884,0.898,0.438,89,9.911111111111111
10000,0.92,0.914,0.902,0.414,75,12.06578947368421
10500,0.938,0.97,0.946,0.404,42,22.186046511627907
11000,0.926,0.916,0.93,0.39,74,12.28
11500,0.904,0.9,0.92,0.408,96,9.29896907216495
12000,0.916,0.914,0.908,0.382,82,11.024096385542169
12500,0.848,0.876,0.878,0.464,100,8.534653465346535
13000,0.882,0.886,0.892,0.41,99,8.84
13500,0.896,0.872,0.918,0.41,101,8.666666666666666
14000,0.918,0.88,0.932,0.412,82,10.831325301204819
14500,0.88,0.878,0.908,0.42,107,8.13888888888889
15000,0.9,0.91,0.916,0.436,87,10.284090909090908
15500,0.892,0.898,0.916,0.406,96,9.22680412371134
16000,0.924,0.88,0.952,0.42,87,10.25
16500,0.9,0.888,0.938,0.428,95,9.3125
17000,0.904,0.878,0.942,0.372,100,8.821782178217822
17500,0.938,0.912,0.95,0.416,66,13.805970149253731
18000,0.928,0.908,0.942,0.404,76,11.922077922077921
18500,0.928,0.916,0.938,0.398,72,12.63013698630137
19000,0.932,0.916,0.932,0.414,68,13.391304347826088
19500,0.928,0.918,0.974,0.442,76,11.987012987012987
20000,0.928,0.922,0.916,0.378,72,12.67123287671233
20500,0.928,0.896,0.944,0.428,82,10.987951807228916
21000,0.928,0.922,0.958,0.422,73,12.5
21500,0.93,0.918,0.948,0.424,66,13.791044776119403
22000,0.938,0.936,0.962,0.43,56,16.43859649122807
22500,0.92,0.934,0.95,0.412,70,13.056338028169014
23000,0.924,0.894,0.944,0.392,88,10.213483146067416
23500,0.926,0.902,0.954,0.408,85,10.627906976744185
24000,0.95,0.94,0.966,0.442,53,17.5
24500,0.914,0.888,0.944,0.404,84,10.6
25000,0.922,0.914,0.938,0.396,78,11.620253164556962
