step,avg_raw_r1,avg_raw_r2,avg_tdma,avg_aloha,collisions_last_win,energy_efficiency
500,0.8189134808853119,0.8148893360160966,0.8732394366197183,0.2535211267605634,132,6.105263157894737
1000,0.826,0.85,0.88,0.246,124,6.704
1500,0.858,0.87,0.898,0.252,106,8.074766355140186
2000,0.898,0.88,0.894,0.26,96,9.164948453608247
2500,0.87,0.856,0.89,0.256,125,6.849206349206349
3000,0.898,0.884,0.912,0.274,92,9.580645161290322
3500,0.918,0.888,0.922,0.254,88,10.146067415730338
4000,0.888,0.902,0.906,0.252,92,9.623655913978494
4500,0.908,0.852,0.918,0.212,94,9.263157894736842
5000,0.912,0.878,0.918,0.22,87,10.170454545454545
5500,0.922,0.892,0.93,0.252,73,12.256756756756756
6000,0.93,0.848,0.918,0.268,86,10.218390804597702
6500,0.924,0.912,0.934,0.24,65,13.909090909090908
7000,0.942,0.886,0.902,0.244,72,12.520547945205479
7500,0.934,0.9,0.918,0.214,77,11.756410256410257
8000,0.936,0.916,0.93,0.25,60,15.180327868852459
8500,0.926,0.908,0.918,0.228,81,11.182926829268293
9000,0.934,0.902,0.922,0.27,71,12.75
9500,0.928,0.918,0.928,0.276,69,13.185714285714285
10000,0.944,0.95,0.952,0.25,47,19.729166666666668
10500,0.936,0.93,0.934,0.252,63,14.578125
11000,0.918,0.888,0.918,0.256,88,10.146067415730338
11500,0.954,0.92,0.946,0.24,52,17.67924528301887
12000,0.924,0.904,0.92,0.27,77,11.717948717948717
12500,0.858,0.866,0.884,0.27,110,7.7657657657657655
13000,0.838,0.878,0.872,0.212,112,7.592920353982301
13500,0.854,0.852,0.848,0.236,126,6.716535433070866
14000,0.88,0.898,0.886,0.314,98,8.97979797979798
14500,0.898,0.9,0.9,0.262,93,9.563829787234043
15000,0.92,0.93,0.912,0.228,69,13.214285714285714
15500,0.92,0.936,0.928,0.262,67,13.647058823529411
16000,0.942,0.946,0.946,0.232,51,18.153846153846153
16500,0.924,0.92,0.936,0.264,73,12.45945945945946
17000,0.93,0.926,0.946,0.26,72,12.712328767123287
17500,0.93,0.95,0.96,0.246,59,15.666666666666666
18000,0.95,0.96,0.958,0.24,42,22.209302325581394
18500,0.95,0.956,0.964,0.242,44,21.177777777777777
19000,0.942,0.96,0.96,0.264,48,19.408163265306122
19500,0.956,0.97,0.976,0.276,35,26.75
20000,0.956,0.974,0.97,0.26,33,28.38235294117647
20500,0.964,0.944,0.966,0.258,40,23.26829268292683
21000,0.962,0.956,0.968,0.228,38,24.58974358974359
21500,0.952,0.944,0.966,0.26,52,17.88679245283019
22000,0.956,0.944,0.972,0.264,50,18.627450980392158
22500,0.956,0.946,0.956,0.222,41,22.642857142857142
23000,0.926,0.958,0.954,0.234,57,16.24137931034483
23500,0.952,0.956,0.966,0.258,44,21.2
24000,0.96,0.956,0.98,0.228,39,23.95
24500,0.94,0.946,0.952,0.276,55,16.839285714285715
25000,0.946,0.962,0.972,0.256,43,21.681818181818183
