step,avg_raw_r1,avg_raw_r2,avg_tdma,avg_aloha,collisions_last_win,energy_efficiency
500,0.8732394366197183,0.8571428571428571,0.89738430583501,0.2776659959758551,96,8.8659793814433
1000,0.872,0.842,0.878,0.234,103,8.240384615384615
1500,0.862,0.832,0.88,0.234,120,7.0
2000,0.856,0.862,0.908,0.274,114,7.469565217391304
2500,0.878,0.88,0.896,0.212,100,8.702970297029703
3000,0.874,0.838,0.858,0.282,116,7.316239316239316
3500,0.876,0.824,0.88,0.258,124,6.8
4000,0.856,0.822,0.894,0.254,118,7.050420168067227
4500,0.862,0.774,0.854,0.268,139,5.8428571428571425
5000,0.874,0.828,0.896,0.286,111,7.598214285714286
5500,0.878,0.834,0.878,0.262,112,7.575221238938053
6000,0.884,0.818,0.886,0.254,108,7.807339449541284
6500,0.892,0.812,0.89,0.242,110,7.675675675675675
7000,0.896,0.848,0.898,0.252,95,9.083333333333334
7500,0.89,0.812,0.88,0.226,106,7.953271028037383
8000,0.906,0.832,0.89,0.234,97,8.86734693877551
8500,0.862,0.808,0.87,0.24,121,6.844262295081967
9000,0.892,0.838,0.884,0.288,101,8.480392156862745
9500,0.894,0.798,0.878,0.266,118,7.109243697478991
10000,0.89,0.818,0.872,0.262,101,8.372549019607844
10500,0.888,0.798,0.884,0.248,100,8.346534653465346
11000,0.914,0.812,0.912,0.24,94,9.08421052631579
11500,0.902,0.836,0.878,0.262,92,9.344086021505376
12000,0.91,0.792,0.896,0.232,91,9.25
12500,0.844,0.84,0.896,0.256,112,7.451327433628318
13000,0.856,0.814,0.86,0.21,116,7.136752136752137
13500,0.876,0.858,0.886,0.266,105,8.179245283018869
14000,0.892,0.844,0.904,0.248,99,8.68
14500,0.876,0.872,0.89,0.252,102,8.485436893203884
15000,0.866,0.874,0.878,0.244,100,8.613861386138614
15500,0.856,0.858,0.896,0.238,124,6.856
16000,0.892,0.882,0.918,0.254,98,8.95959595959596
16500,0.86,0.876,0.9,0.254,113,7.614035087719298
17000,0.88,0.892,0.924,0.244,94,9.326315789473684
17500,0.922,0.89,0.932,0.268,76,11.766233766233766
18000,0.894,0.872,0.9,0.248,94,9.294736842105262
18500,0.912,0.896,0.916,0.274,79,11.3
19000,0.908,0.89,0.934,0.224,84,10.576470588235294
19500,0.968,0.91,0.97,0.274,40,22.902439024390244
20000,0.978,0.93,0.952,0.226,33,28.058823529411764
20500,0.952,0.908,0.962,0.244,56,16.31578947368421
21000,0.974,0.946,0.972,0.208,27,34.285714285714285
21500,0.96,0.932,0.966,0.24,44,21.022222222222222
22000,0.972,0.95,0.964,0.272,32,29.12121212121212
22500,0.948,0.918,0.956,0.256,54,16.963636363636365
23000,0.94,0.91,0.93,0.238,58,15.677966101694915
23500,0.94,0.926,0.956,0.22,55,16.660714285714285
24000,0.956,0.928,0.958,0.25,47,19.625
24500,0.94,0.938,0.96,0.25,51,18.057692307692307
25000,0.954,0.928,0.938,0.236,54,17.10909090909091
