step,avg_raw_r1,avg_raw_r2,avg_tdma,avg_aloha,collisions_last_win,energy_efficiency
500,0.8309859154929577,0.8350100603621731,0.869215291750503,0.2414486921529175,128,6.4186046511627906
1000,0.832,0.81,0.866,0.246,148,5.510067114093959
1500,0.842,0.828,0.862,0.24,137,6.050724637681159
2000,0.828,0.858,0.86,0.266,139,6.021428571428571
2500,0.84,0.842,0.882,0.272,133,6.276119402985074
3000,0.856,0.862,0.906,0.276,121,7.040983606557377
3500,0.852,0.828,0.852,0.246,139,6.0
4000,0.848,0.858,0.886,0.21,131,6.462121212121212
4500,0.884,0.844,0.864,0.24,103,8.307692307692308
5000,0.856,0.832,0.872,0.214,137,6.115942028985507
5500,0.858,0.848,0.886,0.236,127,6.6640625
6000,0.892,0.85,0.874,0.222,113,7.640350877192983
6500,0.904,0.86,0.88,0.24,110,7.945945945945946
7000,0.886,0.886,0.882,0.232,108,8.128440366972477
7500,0.924,0.91,0.894,0.248,84,10.788235294117648
8000,0.914,0.88,0.916,0.262,95,9.34375
8500,0.888,0.884,0.866,0.234,112,7.84070796460177
9000,0.912,0.892,0.902,0.218,95,9.395833333333334
9500,0.904,0.898,0.884,0.264,92,9.688172043010752
10000,0.904,0.894,0.904,0.24,96,9.268041237113403
10500,0.926,0.908,0.92,0.248,83,10.916666666666666
11000,0.89,0.874,0.874,0.278,116,7.538461538461538
11500,0.92,0.898,0.906,0.25,91,9.880434782608695
12000,0.92,0.912,0.896,0.27,84,10.776470588235295
12500,0.804,0.834,0.856,0.254,147,5.533783783783784
13000,0.824,0.832,0.816,0.256,154,5.341935483870968
13500,0.848,0.89,0.866,0.238,116,7.427350427350428
14000,0.886,0.818,0.868,0.218,130,6.5038167938931295
14500,0.856,0.86,0.856,0.252,141,6.042253521126761
15000,0.862,0.884,0.878,0.268,118,7.336134453781512
15500,0.874,0.894,0.886,0.248,111,7.892857142857143
16000,0.914,0.896,0.9,0.236,90,9.945054945054945
16500,0.872,0.906,0.91,0.226,104,8.466666666666667
17000,0.902,0.9,0.916,0.226,99,9.01
17500,0.866,0.902,0.904,0.272,110,7.963963963963964
18000,0.91,0.908,0.922,0.22,82,10.951807228915662
18500,0.904,0.924,0.93,0.258,84,10.75294117647059
19000,0.89,0.906,0.904,0.27,100,8.891089108910892
19500,0.904,0.896,0.928,0.26,93,9.574468085106384
20000,0.92,0.928,0.92,0.208,67,13.588235294117647
20500,0.92,0.922,0.926,0.256,76,11.96103896103896
21000,0.912,0.922,0.934,0.27,79,11.4625
21500,0.876,0.922,0.88,0.214,97,9.173469387755102
22000,0.912,0.904,0.912,0.268,93,9.659574468085106
22500,0.918,0.9,0.922,0.238,88,10.213483146067416
23000,0.9,0.904,0.918,0.22,97,9.204081632653061
23500,0.9,0.906,0.906,0.192,95,9.40625
24000,0.92,0.95,0.946,0.268,63,14.609375
24500,0.896,0.918,0.934,0.26,87,10.306818181818182
25000,0.906,0.912,0.902,0.234,88,10.213483146067416
