step,avg_raw_r1,avg_raw_r2,avg_tdma,avg_aloha,collisions_last_win,energy_efficiency
500,0.8672032193158954,0.8571428571428571,0.8953722334004024,0.2796780684104628,98,8.656565656565656
1000,0.874,0.85,0.884,0.234,103,8.288461538461538
1500,0.87,0.812,0.882,0.23,117,7.127118644067797
2000,0.84,0.834,0.894,0.266,127,6.5390625
2500,0.864,0.872,0.882,0.212,107,8.037037037037036
3000,0.864,0.85,0.886,0.266,117,7.262711864406779
3500,0.894,0.862,0.872,0.252,104,8.361904761904762
4000,0.88,0.848,0.886,0.24,119,7.2
4500,0.874,0.852,0.854,0.268,123,6.959677419354839
5000,0.91,0.832,0.914,0.28,93,9.26595744680851
5500,0.872,0.854,0.868,0.26,116,7.3760683760683765
6000,0.912,0.86,0.89,0.256,84,10.423529411764706
6500,0.908,0.874,0.882,0.238,94,9.378947368421052
7000,0.886,0.846,0.876,0.236,116,7.401709401709402
7500,0.928,0.886,0.902,0.242,80,11.197530864197532
8000,0.902,0.874,0.892,0.24,92,9.548387096774194
8500,0.884,0.84,0.854,0.246,111,7.696428571428571
9000,0.888,0.83,0.886,0.248,101,8.42156862745098
9500,0.918,0.894,0.87,0.266,81,11.048780487804878
10000,0.92,0.852,0.862,0.26,84,10.423529411764706
10500,0.92,0.882,0.882,0.246,79,11.2625
11000,0.914,0.892,0.89,0.238,70,12.71830985915493
11500,0.9,0.87,0.864,0.256,101,8.676470588235293
12000,0.928,0.882,0.882,0.218,77,11.602564102564102
12500,0.8,0.856,0.832,0.264,132,6.225563909774436
13000,0.812,0.834,0.848,0.212,140,5.836879432624113
13500,0.868,0.882,0.868,0.254,99,8.75
14000,0.872,0.838,0.882,0.244,111,7.633928571428571
14500,0.884,0.906,0.888,0.242,95,9.322916666666666
15000,0.86,0.896,0.882,0.234,107,8.12962962962963
15500,0.892,0.876,0.918,0.242,106,8.261682242990654
16000,0.896,0.898,0.9,0.256,96,9.24742268041237
16500,0.876,0.892,0.922,0.252,98,8.929292929292929
17000,0.878,0.892,0.912,0.246,110,7.972972972972973
17500,0.918,0.894,0.914,0.26,78,11.468354430379748
18000,0.876,0.876,0.916,0.266,111,7.821428571428571
18500,0.894,0.902,0.888,0.284,93,9.553191489361701
19000,0.878,0.88,0.91,0.226,108,8.064220183486238
19500,0.908,0.89,0.936,0.28,80,11.098765432098766
20000,0.902,0.878,0.912,0.23,96,9.175257731958762
20500,0.914,0.888,0.944,0.26,85,10.476744186046512
21000,0.92,0.908,0.94,0.208,75,12.026315789473685
21500,0.904,0.902,0.942,0.248,90,9.923076923076923
22000,0.894,0.878,0.938,0.25,107,8.203703703703704
22500,0.91,0.912,0.928,0.26,84,10.717647058823529
23000,0.91,0.894,0.92,0.248,87,10.25
23500,0.938,0.902,0.952,0.218,69,13.142857142857142
24000,0.914,0.892,0.946,0.254,78,11.430379746835444
24500,0.91,0.864,0.956,0.258,85,10.313953488372093
25000,0.932,0.876,0.95,0.232,73,12.216216216216216
