step,avg_raw_r1,avg_raw_r2,avg_tdma,avg_aloha,collisions_last_win,energy_efficiency
500,0.7404426559356136,0.744466800804829,0.8229376257545271,0.2635814889336016,206,3.5652173913043477
1000,0.764,0.77,0.832,0.212,187,4.079787234042553
1500,0.832,0.832,0.84,0.236,138,5.985611510791367
2000,0.79,0.786,0.844,0.232,194,4.041025641025641
2500,0.814,0.812,0.814,0.234,169,4.7823529411764705
3000,0.822,0.814,0.852,0.256,164,4.957575757575758
3500,0.814,0.812,0.836,0.262,181,4.467032967032967
4000,0.808,0.83,0.824,0.254,166,4.904191616766467
4500,0.828,0.794,0.842,0.23,181,4.456043956043956
5000,0.848,0.82,0.852,0.228,154,5.380645161290323
5500,0.85,0.83,0.826,0.25,150,5.562913907284768
6000,0.862,0.868,0.886,0.218,130,6.603053435114504
6500,0.844,0.846,0.86,0.196,154,5.451612903225806
7000,0.86,0.858,0.854,0.234,140,6.092198581560283
7500,0.854,0.862,0.862,0.28,140,6.085106382978723
8000,0.882,0.842,0.828,0.23,133,6.432835820895522
8500,0.84,0.862,0.844,0.232,150,5.635761589403973
9000,0.86,0.85,0.856,0.188,145,5.8561643835616435
9500,0.874,0.872,0.876,0.228,123,7.040322580645161
10000,0.86,0.862,0.872,0.274,137,6.239130434782608
10500,0.84,0.808,0.848,0.214,177,4.629213483146067
11000,0.826,0.836,0.866,0.252,165,5.006024096385542
11500,0.836,0.882,0.87,0.22,136,6.2700729927007295
12000,0.868,0.866,0.844,0.226,128,6.72093023255814
12500,0.8,0.774,0.83,0.244,188,4.164021164021164
13000,0.766,0.798,0.83,0.218,194,4.01025641025641
13500,0.846,0.836,0.856,0.24,143,5.840277777777778
14000,0.796,0.842,0.84,0.256,160,5.086956521739131
14500,0.88,0.832,0.864,0.238,135,6.294117647058823
15000,0.872,0.846,0.858,0.216,131,6.507575757575758
15500,0.842,0.846,0.87,0.244,145,5.780821917808219
16000,0.894,0.822,0.896,0.24,115,7.396551724137931
16500,0.87,0.806,0.898,0.224,136,6.116788321167883
17000,0.866,0.83,0.86,0.204,136,6.189781021897811
17500,0.86,0.826,0.892,0.234,143,5.854166666666667
18000,0.86,0.844,0.898,0.238,139,6.085714285714285
18500,0.878,0.864,0.87,0.236,117,7.38135593220339
19000,0.876,0.872,0.87,0.272,117,7.406779661016949
19500,0.846,0.858,0.884,0.256,132,6.406015037593985
20000,0.872,0.852,0.918,0.23,123,6.951612903225806
20500,0.89,0.86,0.9,0.238,92,9.408602150537634
21000,0.9,0.86,0.884,0.236,107,8.148148148148149
21500,0.88,0.834,0.89,0.23,118,7.201680672268908
22000,0.862,0.862,0.906,0.246,123,6.951612903225806
22500,0.884,0.852,0.884,0.234,115,7.482758620689655
23000,0.892,0.884,0.87,0.244,97,9.061224489795919
23500,0.89,0.846,0.918,0.238,124,6.944
24000,0.918,0.87,0.9,0.218,94,9.410526315789474
24500,0.866,0.864,0.884,0.226,118,7.26890756302521
25000,0.868,0.858,0.938,0.242,125,6.849206349206349
